year,digit,count
17,1,17139
17,2,3341
17,3,2350
17,4,1285
17,5,1348
17,6,1046
17,7,1086
17,8,2216
17,9,864
18,1,14729
18,2,3379
18,3,1881
18,4,1306
18,5,1265
18,6,838
18,7,891
18,8,1979
18,9,721
19,1,14794
19,2,4407
19,3,2950
19,4,1575
19,5,1707
19,6,1230
19,7,887
19,8,1480
19,9,932
20,1,22116
20,2,6956
20,3,3087
20,4,8996
20,5,2268
20,6,1271
20,7,1672
20,8,1862
20,9,1314
21,1,18446
21,2,6236
21,3,2487
21,4,7139
21,5,2002
21,6,1077
21,7,1453
21,8,1536
21,9,1132
22,1,18258
22,2,6252
22,3,1771
22,4,7291
22,5,2004
22,6,946
22,7,1472
22,8,1450
22,9,1189
23,1,19850
23,2,9349
23,3,2819
23,4,8004
23,5,3661
23,6,1119
23,7,2026
23,8,1809
23,9,1852
24,1,20242
24,2,9890
24,3,2720
24,4,7777
24,5,4213
24,6,1259
24,7,2066
24,8,1995
24,9,2113
25,1,21362
25,2,11011
25,3,2417
25,4,8382
25,5,4585
25,6,1197
25,7,2115
25,8,2202
25,9,2027
16,1,15927
16,2,3835
16,3,1866
16,4,1415
16,5,1531
16,6,1137
16,7,1039
16,8,1899
16,9,737
